arch,freshness,latency_ms,jitter_ms,packet_loss,bandwidth_mbps,num_queries,failures,recall_at_10,latency_p50_ms,latency_p95_ms,latency_p99_ms
hnsw,partial,5.0,5.0,0.0,1000.0,5000,0,0.74408,0.4576,0.627,0.7925
hnsw,stale,5.0,5.0,0.0,1000.0,5000,0,0.73532,0.4563,0.6168,0.8636
ivf,fresh,5.0,5.0,0.0,1000.0,5000,0,0.95954,0.4549,0.618,0.8402
ivf,partial,5.0,5.0,0.0,1000.0,5000,0,0.74408,0.4551,0.5975,0.7105
ivf,stale,5.0,5.0,0.0,1000.0,5000,0,0.73532,0.457,0.6077,0.7265
hnsw,fresh,5.0,5.0,0.0,100.0,5000,0,0.95954,0.4581,0.6252,0.8242
hnsw,partial,5.0,5.0,0.0,100.0,5000,0,0.74408,0.4611,0.6049,0.7172
hnsw,stale,5.0,5.0,0.0,100.0,5000,0,0.73532,0.4681,0.6585,0.7799
ivf,fresh,5.0,5.0,0.0,100.0,5000,0,0.95954,0.4687,0.661,0.8557
ivf,partial,5.0,5.0,0.0,100.0,5000,0,0.74408,0.4976,0.7212,0.8941
ivf,stale,5.0,5.0,0.0,100.0,5000,0,0.73532,0.4965,0.7089,0.9175
hnsw,fresh,5.0,5.0,0.0,10.0,5000,0,0.95954,0.4874,0.6647,0.8378
hnsw,partial,5.0,5.0,0.0,10.0,5000,0,0.74408,0.4764,0.6703,0.8366
hnsw,stale,5.0,5.0,0.0,10.0,5000,0,0.73532,0.4568,0.5896,0.7062
ivf,fresh,5.0,5.0,0.0,10.0,5000,0,0.95954,0.4538,0.639,0.8509
ivf,partial,5.0,5.0,0.0,10.0,5000,0,0.74408,0.4585,0.618,0.7942
ivf,stale,5.0,5.0,0.0,10.0,5000,0,0.73532,0.4661,0.6826,0.9447
hnsw,fresh,5.0,5.0,0.001,1000.0,5000,0,0.95954,0.4687,0.6543,0.9025
hnsw,partial,5.0,5.0,0.001,1000.0,5000,0,0.74408,0.4764,0.6373,0.7885
hnsw,stale,5.0,5.0,0.001,1000.0,5000,0,0.73532,0.483,0.6927,0.9339
ivf,fresh,5.0,5.0,0.001,1000.0,5000,0,0.95954,0.4659,0.6376,0.8331
ivf,partial,5.0,5.0,0.001,1000.0,5000,0,0.74408,0.4807,0.6681,0.8894
ivf,stale,5.0,5.0,0.001,1000.0,5000,0,0.73532,0.4745,0.6499,0.8026
hnsw,fresh,5.0,5.0,0.001,100.0,5000,0,0.95954,0.4792,0.685,0.9427
hnsw,partial,5.0,5.0,0.001,100.0,5000,0,0.74408,0.4718,0.6697,0.9923
hnsw,stale,5.0,5.0,0.001,100.0,5000,0,0.73532,0.4764,0.681,0.9237
ivf,fresh,5.0,5.0,0.001,100.0,5000,0,0.95954,0.4668,0.6576,0.9457
ivf,partial,5.0,5.0,0.001,100.0,5000,0,0.74408,0.4687,0.6478,0.8746
ivf,stale,5.0,5.0,0.001,100.0,5000,0,0.73532,0.4745,0.6688,0.9236
